,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,east london,-33.0153,27.9116,53.85,63,0,7.34,ZA,1659314593
1,cidreira,-30.1811,-50.2056,58.66,89,3,9.53,BR,1659314615
2,vaini,-21.2,-175.2,80.76,89,75,6.91,TO,1659314616
3,jamestown,42.097,-79.2353,74.84,72,20,4.61,US,1659314616
4,dingle,10.9995,122.6711,82.58,75,100,1.14,PH,1659314616
5,hobart,-42.8794,147.3294,51.26,70,75,18.41,AU,1659314424
6,yellowknife,62.456,-114.3525,68.52,40,40,9.22,CA,1659314616
7,adrar,20.5022,-10.0711,92.59,34,15,12.44,MR,1659314617
8,klaksvik,62.2266,-6.589,50.58,83,86,13.78,FO,1659314617
9,upernavik,72.7868,-56.1549,48.76,68,100,0.45,GL,1659314439
10,port alfred,-33.5906,26.891,52.2,73,0,9.66,ZA,1659314617
11,bathsheba,13.2167,-59.5167,83.01,90,40,19.57,BB,1659314617
12,hami,42.8,93.45,86.4,25,100,6.78,CN,1659314486
13,rikitea,-23.1203,-134.9692,72.46,73,100,23.82,PF,1659314618
14,qaanaaq,77.484,-69.3632,44.74,64,100,2.48,GL,1659314618
15,puerto ayora,-0.7393,-90.3518,71.55,91,77,5.01,EC,1659314618
16,port lincoln,-34.7333,135.8667,58.69,64,2,15.55,AU,1659314618
17,butaritari,3.0707,172.7902,81.48,78,73,13.11,KI,1659314619
18,pisco,-13.7,-76.2167,60.85,82,100,9.22,PE,1659314619
19,mataura,-46.1927,168.8643,50.49,73,100,9.24,NZ,1659314619
20,husavik,66.0449,-17.3389,41.88,93,100,9.71,IS,1659314619
21,comodoro rivadavia,-45.8667,-67.5,40.86,48,0,4.61,AR,1659314475
22,vestmannaeyjar,63.4427,-20.2734,49.23,75,66,18.34,IS,1659314620
23,meulaboh,4.1363,96.1285,77.68,86,100,4.34,ID,1659314755
24,sinegorye,62.0788,150.477,64.31,60,70,8.95,RU,1659314756
25,port macquarie,-31.4333,152.9167,61.9,59,100,8.14,AU,1659314756
26,raduzhnyy,62.0961,77.475,53.37,65,0,11.3,RU,1659314756
27,fort collins,40.5853,-105.0844,87.96,39,0,10.36,US,1659314535
28,tuktoyaktuk,69.4541,-133.0374,64.4,48,40,3.44,CA,1659314552
29,kamloops,50.6665,-120.3192,101.57,22,20,8.05,CA,1659314696
30,novopokrovka,49.8425,36.5477,62.46,62,3,8.68,UA,1659314756
31,college,64.8569,-147.8028,68.2,75,75,4.61,US,1659314757
32,carnarvon,-24.8667,113.6333,69.42,75,100,15.75,AU,1659314757
33,ambilobe,-13.2,49.05,62.62,85,0,3.67,MG,1659314757
34,ushuaia,-54.8,-68.3,35.26,93,40,3.44,AR,1659314757
35,mount gambier,-37.8333,140.7667,53.49,79,5,13.65,AU,1659314566
36,grindavik,63.8424,-22.4338,49.95,81,75,13.8,IS,1659314758
37,gat,31.61,34.7642,75.88,74,0,2.42,IL,1659314758
38,along,28.1667,94.7667,74.7,99,100,0.72,IN,1659314758
39,albany,42.6001,-73.9662,76.46,67,100,2.48,US,1659314672
40,port elizabeth,-33.918,25.5701,47.32,86,0,5.75,ZA,1659314759
41,broome,42.2506,-75.833,73.54,79,95,3.04,US,1659314759
42,corn island,12.1694,-83.0418,82.04,81,100,17.11,NI,1659314759
43,busselton,-33.65,115.3333,60.01,88,100,23.35,AU,1659314759
